17315,61294,1
17315,25745,5
17315,27807,1
17315,29196,1
17315,28468,1
17315,37993,1
17315,25828,3
17315,43416,1
17315,30437,1
17315,29965,1
17315,33302,1
17315,35922,2
17315,25298,1
17315,34747,1
17315,31202,2
17315,37590,1
17315,19175,1
17315,34734,1
17315,31248,2
17315,27924,1
17315,30734,2
17315,28858,1
17315,31264,1
17315,25797,5
17315,28466,1
17315,32685,1
17315,44977,1
17315,33977,1
17315,24542,2
17315,50290,1
17315,25809,3
17315,24701,3
17315,53214,1
17315,23769,1
17315,39761,1
17315,57408,1
17315,27465,1
17315,37723,1
17315,49454,2
17315,25813,2
17316,25591,1
17316,31071,2
17316,32841,1
17316,35139,2
17316,19580,1
17316,24372,3
17316,25765,3
17316,30186,1
17316,36596,1
17316,28473,4
17316,32577,1
17316,38897,1
17316,31756,1
17316,30000,1
17316,31564,2
17316,26863,1
17316,19502,1
17316,23599,2
17316,34746,1
17316,25760,2
17316,28986,2
17316,25751,9
17316,21050,1
17316,29155,1
17316,29584,3
17316,28310,1
17316,29173,3
17316,30456,1
17316,32404,2
17316,20800,1
17316,24544,6
17316,26111,3
17316,28867,1
17316,43170,2
17316,26938,2
17316,41680,1
17316,25346,3
17316,25363,1
17316,26920,2
17316,35137,8
17317,37669,1
17317,29810,1
17317,32061,1
17317,37232,4
17317,45142,1
17317,32365,1
17317,37730,1
17317,26636,1
17317,43717,1
17317,41233,3
17317,28470,12
17317,30810,3
17317,38815,1
17317,45144,1
17317,31210,4
17317,24372,2
17317,30575,2
17317,43755,1
17317,25256,1
17317,40760,1
17317,57408,1
17317,27936,3
17317,27218,2
17317,37015,1
17317,23120,8
17317,24542,10
17317,28617,1
17317,39284,2
17317,23143,3
17317,46711,1
17317,38645,2
17317,34757,1
17317,26219,2
17317,35357,1
17317,30197,2
17317,55613,1
17317,28465,6
17317,30303,1
17317,37073,2
17317,36607,1
17318,27710,9
17318,36802,1
17318,37756,2
17318,32788,1
17318,38260,2
17318,38645,1
17318,20484,2
17318,25817,2
17318,39516,1
17318,29943,2
17318,37773,1
17318,36318,1
17318,49459,1
17318,36306,2
17318,32523,2
17318,22372,1
17318,32717,1
17318,34569,1
17318,21655,1
17318,26520,2
17318,25264,2
17318,25765,2
17318,32703,1
17318,37600,1
17318,18226,2
17318,36648,2
17318,28354,1
17318,48636,1
17318,34068,2
17318,24522,2
17318,26639,1
17318,32510,2
17318,36779,2
17318,38721,2
17318,41945,1
17318,31133,2
17318,41034,3
17318,34604,4
17318,42876,1
17318,27693,2
17319,28472,11
17319,36856,1
17319,27442,11
17319,31678,2
17319,34573,15
17319,37017,6
17319,22401,3
17319,23769,1
17319,32685,1
17319,30457,1
17319,28366,11
17319,34575,4
17319,33876,1
17319,28272,1
17319,25814,10
17319,24543,14
17319,24701,20
17319,37603,1
17319,27442,11
17319,28468,8
17319,29511,1
17319,28461,11
17319,27588,1
17319,30558,3
17319,24978,1
17319,28472,11
17319,32022,5
17319,25825,4
17319,36934,4
17319,31248,9
17319,35949,1
17319,27442,11
17319,33561,1
17319,25757,18
17319,34614,1
17319,28461,11
17319,24543,14
17319,32022,5
17319,29716,1
17319,27217,6
17320,28470,6
17320,35409,1
17320,61849,1
17320,51050,2
17320,25814,8
17320,27924,3
17320,36856,1
17320,28858,2
17320,35989,1
17320,30734,1
17320,30121,3
17320,32336,4
17320,25767,6
17320,32187,1
17320,25474,2
17320,35407,1
17320,25749,7
17320,37913,1
17320,25363,1
17320,47683,1
17320,40639,2
17320,36271,1
17320,25798,6
17320,37234,1
17320,25797,8
17320,24542,6
17320,35324,1
17320,25755,3
